Account_ID,Customer_ID,Account_Type,Account_Balance,Account_Status
155,7623,Salary,200891,Inactive
156,1751,Business,566618,active
157,3670,Salary,1332600,active
158,394,Business,781929,Inactive
159,8786,Current,468883,Inactive
160,9078,Business,1231746,Active
161,8140,Business,1455734,Active
162,3053,Business,129024,Inactive
163,8697,Business,762990,ACTIVE
164,5237,Current,79903,active
165,3751,Current,195490,Active
166,1778,Current,1052486,active
167,6934,Salary,1278646,active
168,8326,Salary,682813,active
169,2926,Business,530217,ACTIVE
170,7348,Business,837832,active
171,6821,Salary,197562,active
172,585,Business,21293,Active
173,9629,Current,819378,active
174,8549,Savings,737662,ACTIVE
175,7603,Business,1471282,ACTIVE
176,5197,Savings,1400685,active
177,9943,Current,650276,ACTIVE
178,1701,Business,1045888,Inactive
179,9902,Current,488032,ACTIVE
180,3682,Current,999592,Inactive
181,8729,Current,390326,ACTIVE
182,2469,Salary,1328058,ACTIVE
183,8343,Business,231916,Active
184,9948,Current,1084591,active
185,2551,Salary,1076590,Active
186,888,Business,666736,Inactive
187,4839,Current,202965,Active
188,2563,Business,422468,Active
189,9801,Salary,1306894,ACTIVE
190,7791,Salary,508928,Inactive
191,6728,Business,1101384,ACTIVE
192,5532,Business,696528,Inactive
193,9434,Salary,1022395,Inactive
194,208,Current,1470051,ACTIVE
195,3833,Salary,1477259,active
196,3362,Current,881440,active
197,2900,Salary,975689,Inactive
198,8152,Salary,708051,active
199,5751,Current,1199142,ACTIVE
200,4035,Savings,801911,ACTIVE
201,2280,Current,736527,ACTIVE
202,5762,Savings,1112649,Active
203,9181,Current,1281460,Active
204,6748,Salary,444949,ACTIVE
205,6476,Current,649218,Inactive
206,7805,Savings,737131,Active
207,1650,Salary,412262,Inactive
208,2409,Current,896181,ACTIVE
209,9317,Current,899749,Inactive
210,8721,Salary,1028684,ACTIVE
211,5597,Savings,838081,Inactive
212,9464,Current,1237391,Active
213,7543,Savings,134668,Inactive
214,1420,Current,836899,ACTIVE
215,5696,Current,383065,active
216,8127,Business,627807,active
217,4174,Business,549484,Active
218,1736,Current,1314868,ACTIVE
219,4386,Business,824844,Inactive
220,1149,Savings,977996,ACTIVE
221,8024,Business,1378009,ACTIVE
222,5588,Salary,305778,Active
223,9716,Business,1457971,Inactive
224,6696,Current,1121563,ACTIVE
225,8903,Salary,1490329,active
226,9153,Current,179611,Inactive
227,7859,Business,867549,active
228,5,Current,630436,active
229,4920,Business,279404,Active
230,8310,Savings,1033157,active
231,2792,Salary,1401866,active
232,9759,Salary,962442,Active
233,6893,Savings,1416054,ACTIVE
234,6574,Salary,185451,ACTIVE
235,5830,Current,1061962,ACTIVE
236,6825,Current,1256158,active
237,3373,Business,1470138,ACTIVE
238,5540,Salary,818120,Inactive
239,5182,Salary,107926,active
240,9378,Salary,58914,ACTIVE
241,7254,Savings,1331391,active
242,5133,Business,271689,Inactive
243,4513,Salary,722378,Active
244,1148,Salary,1043362,active
245,3067,Current,1297244,Active
246,8808,Savings,976740,Inactive
247,3121,Salary,272384,Active
248,1027,Salary,929934,Inactive
249,3071,Savings,565885,Active
250,8954,Current,1185478,Inactive
251,5843,Savings,811121,ACTIVE
252,5670,Business,321737,ACTIVE
253,7321,Current,38537,ACTIVE
254,7485,Salary,107653,Active
255,4823,Salary,1499659,Active
256,8626,Business,1339509,Inactive
257,1223,Savings,100575,Inactive
258,9726,Salary,446934,active
259,6184,Savings,1229863,active
260,4794,Savings,1062148,Active
261,5609,Savings,283139,Active
262,8984,Salary,473674,ACTIVE
263,7749,Current,1082558,ACTIVE
264,6548,Salary,1086574,active
265,9245,Current,637339,Inactive
266,2085,Current,530536,Inactive
267,2555,Current,936718,Inactive
268,1682,Salary,611576,Active
269,3723,Business,1422369,ACTIVE
270,2037,Business,757824,Inactive
271,7104,Current,56514,ACTIVE
272,3158,Salary,989335,Inactive
273,7556,Business,710051,active
274,7568,Business,1247156,ACTIVE
275,8614,Salary,747620,active
276,959,Savings,1198858,ACTIVE
277,5453,Business,1124336,Inactive
278,8787,Business,774766,Inactive
279,2218,Salary,659447,Inactive
280,9541,Salary,1273465,Inactive
281,2830,Salary,5323,Inactive
282,228,Business,1038566,Inactive
283,7494,Salary,218349,Inactive
284,5,Current,190385,Active
285,152,Current,1454565,ACTIVE
286,3078,Salary,1160856,active
287,6434,Business,1127967,Active
288,3972,Business,253284,ACTIVE
289,1005,Business,359488,active
290,7302,Salary,224927,ACTIVE
291,8003,Savings,227600,active
292,3661,Current,712884,active
293,3519,Salary,619339,active
294,9187,Savings,1391594,ACTIVE
295,6490,Savings,597666,ACTIVE
296,9929,Salary,761775,active
297,9815,Savings,966761,active
298,2628,Savings,801030,Inactive
299,4709,Savings,1295523,active
300,6088,Current,1330386,Inactive
301,6818,Savings,138561,Inactive
302,6457,Savings,897466,Inactive
303,1926,Salary,410394,active
304,5703,Salary,456026,active
305,8365,Current,222521,active
306,9385,Salary,880761,active
307,9319,Current,1450424,Inactive
308,228,Savings,1244761,active
309,7301,Savings,1488700,Inactive
310,3644,Savings,1451718,Inactive
311,3729,Salary,436848,Inactive
312,9427,Current,130306,ACTIVE
313,5229,Salary,1276987,Active
314,4617,Salary,1065844,Inactive
315,3716,Current,609190,Inactive
316,4522,Current,151341,Active
317,2122,Business,676724,ACTIVE
318,7264,Business,1318262,active
319,7297,Business,233966,ACTIVE
320,343,Current,908861,active
321,6545,Savings,100597,Active
322,4318,Salary,644929,ACTIVE
323,9551,Salary,796021,Active
324,4833,Business,382754,ACTIVE
325,3175,Savings,1307085,ACTIVE
326,8930,Current,853499,Active
327,8055,Salary,330849,Active
328,1027,Savings,213202,Active
329,5950,Salary,689082,active
330,4640,Salary,807785,Active
331,1104,Salary,1172851,Inactive
332,2684,Current,1011900,Inactive
333,4945,Current,999715,Active
334,6965,Salary,273902,Active
335,8588,Current,146389,ACTIVE
336,7504,Savings,230948,Inactive
337,7378,Savings,45565,active
338,9727,Salary,53892,ACTIVE
339,8237,Business,1196888,active
340,1980,Savings,575656,Active
341,1865,Current,200566,ACTIVE
342,10000,Current,712492,Inactive
343,4445,Savings,189950,ACTIVE
344,3102,Business,813913,active
345,3434,Salary,964300,Inactive
346,8996,Savings,262187,active
347,2070,Current,1164327,Inactive
348,5141,Business,1055358,Active
349,8683,Salary,451140,Active
350,1480,Current,1024856,Active
351,1704,Salary,1435894,Inactive
352,4317,Salary,708871,ACTIVE
353,4687,Business,420648,Active
354,5618,Salary,1022918,Inactive
355,4909,Current,1221167,Inactive
356,3231,Salary,1235720,Active
357,8335,Salary,578341,Inactive
358,1850,Savings,627430,Inactive
359,4021,Savings,146449,Active
360,8237,Current,536715,ACTIVE
361,451,Salary,1064944,active
362,1260,Savings,29674,ACTIVE
363,9196,Current,1469716,Inactive
364,4778,Salary,817677,Inactive
365,7393,Current,137962,Inactive
366,7576,Salary,203617,Active
367,7987,Business,1243272,active
368,1997,Savings,730082,Inactive
369,4889,Business,1227121,Inactive
370,7137,Salary,1372299,ACTIVE
371,1495,Business,177094,Inactive
372,9265,Business,43093,Inactive
373,1579,Savings,973575,Active
374,1236,Business,603624,ACTIVE
375,9932,Salary,1259986,ACTIVE
376,9208,Salary,229303,Inactive
377,6994,Business,729651,Active
378,1560,Savings,872695,Active
379,9761,Savings,799817,active
380,7889,Business,557846,active
381,9703,Savings,46275,Inactive
382,4576,Business,1276417,active
383,3857,Business,1425450,Active
384,9904,Current,816001,ACTIVE
385,4140,Business,60753,active
386,7833,Savings,1324014,Inactive
387,3528,Salary,757186,Active
388,6499,Business,1335065,active
389,5820,Current,113936,Active
390,3869,Current,655876,ACTIVE
391,4452,Current,921259,Active
392,7305,Current,766992,Inactive
393,8095,Savings,885875,active
394,5740,Salary,1264282,Active
395,9694,Business,1172849,ACTIVE
396,815,Business,936737,active
397,7585,Salary,152270,active
398,4066,Business,1315630,Inactive
399,1324,Business,182432,ACTIVE
400,8197,Current,1046877,Active
401,9451,Current,1231949,ACTIVE
402,2035,Savings,413231,ACTIVE
403,6591,Salary,1209761,ACTIVE
404,5967,Savings,935395,Active
405,200,Business,869188,active
406,1706,Current,541025,ACTIVE
407,3932,Current,578915,Active
408,2069,Current,556934,active
409,3759,Salary,760596,Inactive
410,2844,Business,1376055,Active
411,2197,Salary,1245561,ACTIVE
412,8817,Current,1145954,ACTIVE
413,2134,Salary,993799,Active
414,2579,Current,1395104,Active
415,6207,Salary,135649,ACTIVE
416,8884,Salary,389901,Active
417,2598,Current,286512,ACTIVE
418,814,Business,1442112,Active
419,6552,Business,1167371,Inactive
420,1628,Salary,387324,active
421,4617,Current,561064,Inactive
422,3593,Savings,80249,Active
423,2581,Salary,792131,Inactive
424,6239,Savings,1270390,Inactive
425,3933,Current,1424430,active
426,8488,Business,179919,Active
427,7114,Business,1018052,Inactive
428,3252,Current,792329,Inactive
429,1155,Salary,284124,Active
430,533,Business,1281892,active
431,5128,Salary,183061,Inactive
432,888,Business,234021,ACTIVE
433,3273,Business,200476,active
434,2926,Salary,203479,Active
435,2433,Current,88671,ACTIVE
436,3598,Salary,534940,ACTIVE
437,8012,Savings,941514,Inactive
438,5526,Business,374417,Inactive
439,4619,Business,899899,Active
440,9027,Salary,843582,Inactive
441,9570,Current,650691,active
442,3481,Business,971752,ACTIVE
443,4607,Savings,874973,active
444,8404,Savings,1497197,ACTIVE
445,9119,Salary,1353545,Active
446,2673,Business,533632,ACTIVE
447,4033,Current,214969,Inactive
448,8537,Current,564780,Active
449,5994,Salary,291687,Active
450,6004,Business,1196672,Active
451,9894,Current,692666,ACTIVE
452,7426,Salary,486131,active
453,3847,Business,851016,Inactive
454,4017,Current,700836,active
455,296,Savings,946846,ACTIVE
456,7725,Business,367566,active
457,7385,Salary,537358,active
458,4484,Current,410168,active
459,1497,Current,267039,Active
460,1568,Salary,775591,ACTIVE
461,6034,Business,311666,ACTIVE
462,5451,Business,935426,Inactive
463,1976,Savings,1368216,Inactive
464,4133,Current,1399685,Active
465,7399,Salary,1182306,ACTIVE
466,4279,Savings,203447,Inactive
467,7926,Current,1105129,Inactive
468,4166,Current,556659,Active
469,8429,Current,1112612,Inactive
470,464,Salary,688546,Inactive
471,5238,Salary,874740,Inactive
472,930,Salary,162346,Inactive
473,1887,Savings,809036,active
474,7674,Current,1072260,Active
475,7672,Current,73606,Active
476,7919,Savings,168306,active
477,3912,Savings,150992,Inactive
478,6545,Salary,1353959,ACTIVE
479,4413,Current,549409,Inactive
480,718,Business,342565,active
481,6366,Business,177482,Inactive
482,658,Savings,690303,Active
483,1213,Savings,707061,Inactive
484,6436,Savings,1176600,ACTIVE
485,758,Business,1428133,Active
486,6903,Business,-5383,Inactive
487,5537,Salary,1467749,Inactive
488,3479,Salary,1003404,ACTIVE
489,5573,Current,227136,Inactive
490,9423,Salary,1234518,active
491,6070,Current,69021,ACTIVE
492,5480,Salary,1488573,active
493,5126,Salary,1408635,ACTIVE
494,5094,Salary,1374677,Active
495,5593,Business,782732,ACTIVE
496,83,Business,875069,ACTIVE
497,7967,Savings,1102775,active
498,3763,Salary,594903,active
499,1401,Business,586944,ACTIVE
500,659,Current,850458,Active
501,6246,Salary,345942,ACTIVE
502,5151,Business,374518,Inactive
503,1338,Savings,1415035,ACTIVE
504,7141,Savings,729340,Active
505,8886,Current,1444780,active
506,4328,Current,799834,Inactive
507,9337,Business,922295,ACTIVE
508,3257,Savings,265111,ACTIVE
509,864,Business,96763,ACTIVE
510,1250,Salary,1426318,active
511,9411,Current,105362,Active
512,4905,Current,133699,Inactive
513,9242,Salary,993483,Active
514,7362,Salary,171274,Active
515,2903,Salary,501234,ACTIVE
516,4807,Savings,88095,Inactive
517,5384,Savings,692322,Inactive
518,9687,Salary,737654,active
519,2337,Current,116258,Inactive
520,368,Current,868048,Active
521,412,Savings,29724,ACTIVE
522,3094,Savings,346141,ACTIVE
523,8035,Current,1382419,ACTIVE
524,354,Business,711936,Active
525,9758,Savings,841333,active
526,5679,Savings,953187,active
527,1339,Current,624772,Inactive
528,4878,Salary,379925,ACTIVE
529,329,Current,922912,ACTIVE
530,9686,Savings,64812,ACTIVE
531,8156,Salary,198185,ACTIVE
532,7017,Business,468191,ACTIVE
533,1487,Salary,442363,Inactive
534,7608,Business,893313,active
535,3736,Current,1123245,active
536,738,Salary,1265375,Active
537,5368,Salary,1410492,ACTIVE
538,3889,Current,900174,active
539,6893,Business,376297,active
540,4844,Business,1403551,Inactive
541,9987,Business,619079,Inactive
542,9495,Salary,764761,Active
543,6292,Salary,614032,Active
544,2669,Business,133892,active
545,4239,Business,33007,Active
546,5072,Current,752342,active
547,4167,Business,47239,Inactive
548,638,Current,1485094,Active
549,4563,Business,33184,active
550,2642,Business,647131,active
551,8233,Business,324291,Inactive
552,8963,Savings,639710,active
553,5803,Savings,722680,ACTIVE
554,4375,Current,671822,ACTIVE
555,7639,Business,1437717,active
556,3017,Savings,124532,Active
557,3711,Business,831121,ACTIVE
558,58,Current,1329593,ACTIVE
559,9846,Business,814159,ACTIVE
560,3238,Business,1393838,ACTIVE
561,6517,Savings,179584,Active
562,82,Business,1158780,Inactive
563,5990,Savings,1014531,Active
564,6508,Salary,1017890,Inactive
565,1509,Savings,339413,ACTIVE
566,5166,Salary,644341,ACTIVE
567,8454,Savings,1456826,Active
568,3707,Salary,904825,Active
569,6236,Savings,459150,Inactive
570,4115,Business,642433,Active
571,2318,Savings,1405519,active
572,4673,Salary,1060760,Active
573,8861,Salary,973913,ACTIVE
574,1271,Current,794375,Active
575,9927,Business,555357,ACTIVE
576,3815,Business,18888,active
577,4020,Current,1151319,ACTIVE
578,4716,Salary,733128,Active
579,6647,Savings,904087,Inactive
580,6840,Current,782108,active
581,2232,Current,378434,active
582,8633,Current,1490873,Active
583,581,Current,1464304,active
584,3322,Current,715935,ACTIVE
585,376,Salary,249618,Inactive
586,6082,Current,517874,Active
587,5578,Salary,1068693,active
588,3802,Salary,380873,ACTIVE
589,6490,Savings,1434651,ACTIVE
590,10000,Current,1334765,active
591,729,Current,960992,Active
592,4276,Savings,1475958,ACTIVE
593,6781,Business,1081037,active
594,2424,Business,1255112,Active
595,6327,Current,361041,Active
596,2377,Business,592478,ACTIVE
597,6634,Current,882472,Active
598,2248,Business,860484,Inactive
599,6623,Salary,152972,ACTIVE
600,9952,Business,936512,Active
601,5575,Business,232878,Inactive
602,7161,Salary,1209495,Inactive
603,5994,Savings,975108,ACTIVE
604,5560,Salary,677713,active
605,1913,Business,75684,Active
606,3809,Current,1084287,Inactive
607,2678,Current,941432,ACTIVE
608,5579,Business,316658,Active
609,9887,Savings,858374,active
610,4532,Current,639356,Active
611,1738,Savings,951573,active
612,5698,Current,1487830,Active
613,46,Savings,1406601,Active
614,7020,Current,147715,active
615,5892,Current,849237,active
616,1942,Current,200742,ACTIVE
617,6061,Current,193656,ACTIVE
618,8348,Business,751318,active
619,962,Current,224802,Inactive
620,945,Savings,812328,Active
621,7775,Savings,446527,active
622,9471,Salary,786588,Inactive
623,9578,Savings,910229,Inactive
624,3920,Current,454011,ACTIVE
625,9929,Savings,874185,ACTIVE
626,6059,Current,950628,Active
627,3839,Current,404016,ACTIVE
628,5560,Salary,1057275,Active
629,2651,Business,1243811,active
630,8432,Savings,1438701,Active
631,3255,Savings,974114,ACTIVE
632,6403,Current,662725,ACTIVE
633,7628,Savings,317352,Inactive
634,8692,Savings,608002,ACTIVE
635,6220,Business,1056321,Inactive
636,4393,Savings,531416,ACTIVE
637,7720,Current,953619,Inactive
638,9622,Business,1207386,Active
639,8719,Savings,873513,Active
640,5852,Current,231608,Active
641,1809,Current,1068609,Inactive
642,9403,Savings,136928,Active
643,8176,Business,884381,active
644,9241,Salary,1355484,Active
645,4395,Current,66370,Active
646,4669,Savings,1381481,Inactive
647,9347,Salary,1130534,Active
648,5881,Current,753621,ACTIVE
649,676,Business,846331,Inactive
650,3279,Salary,893842,Active
651,2240,Savings,145887,active
652,9244,Salary,858468,Inactive
653,429,Salary,1054341,Active
654,2132,Current,745977,active
655,8690,Current,570913,Inactive
656,3867,Savings,931474,ACTIVE
657,851,Business,338815,ACTIVE
658,2892,Current,70675,Active
659,9251,Salary,745703,active
660,2145,Salary,583468,ACTIVE
661,8036,Savings,514160,active
662,6551,Current,553211,ACTIVE
663,7104,Business,1135346,Inactive
664,9974,Current,1094754,ACTIVE
665,8681,Savings,58168,active
666,8596,Business,1220930,active
667,5343,Current,1472386,Active
668,8595,Salary,1272430,Inactive
669,3658,Savings,938849,ACTIVE
670,9994,Business,936259,Inactive
671,184,Business,227130,Inactive
672,6421,Current,1170631,active
673,1517,Business,1234949,Active
674,7463,Salary,269040,Inactive
675,4157,Business,65316,active
676,9901,Savings,1410796,ACTIVE
677,5086,Salary,1294747,active
678,3694,Salary,-5414,Active
679,9742,Current,231929,active
680,4411,Salary,1275578,Inactive
681,2792,Business,386295,active
682,996,Business,1499520,active
683,2857,Current,73653,active
684,8844,Business,1078646,Inactive
685,7074,Business,1360974,Active
686,9085,Salary,204436,ACTIVE
687,6180,Current,661295,Inactive
688,2003,Current,1359341,ACTIVE
689,9257,Business,812022,ACTIVE
690,8361,Business,1317064,Inactive
691,171,Savings,220755,Inactive
692,3690,Current,221138,Inactive
693,739,Salary,175101,Inactive
694,3563,Business,791955,Active
695,1318,Savings,1321016,Active
696,7826,Savings,1404410,active
697,1288,Salary,600687,ACTIVE
698,6082,Business,5744,ACTIVE
699,4037,Salary,638456,Inactive
700,4537,Business,1302359,Inactive
701,8850,Savings,644094,ACTIVE
702,4204,Business,315372,Inactive
703,8124,Savings,663815,Active
704,5335,Current,354103,active
705,7925,Savings,493155,active
706,3202,Salary,706380,ACTIVE
707,8768,Savings,349366,Active
708,8492,Business,796014,Active
709,1893,Salary,585117,Inactive
710,5482,Salary,634546,Inactive
711,224,Current,1248558,Inactive
712,6721,Current,765790,active
713,7655,Current,871815,active
714,3649,Salary,200771,Active
715,2742,Salary,989070,Active
716,7153,Business,1219273,Active
717,5228,Salary,618218,Inactive
718,5512,Current,518293,active
719,6220,Savings,172267,Inactive
720,2298,Business,472029,Inactive
721,4337,Business,815130,active
722,7394,Savings,87287,Inactive
723,9892,Business,1192375,active
724,3335,Current,681023,ACTIVE
725,2063,Current,1381130,Active
726,8857,Business,494189,ACTIVE
727,8688,Business,677294,Active
728,1465,Business,1252272,Active
729,3706,Salary,605300,ACTIVE
730,6913,Salary,245980,active
731,436,Salary,1378595,Inactive
732,4397,Savings,950848,ACTIVE
733,7097,Savings,883920,Active
734,1698,Current,592444,active
735,8130,Business,1163233,ACTIVE
736,8095,Business,480166,active
737,7123,Business,592585,ACTIVE
738,9239,Current,1283982,ACTIVE
739,9282,Salary,271378,active
740,1419,Savings,724615,active
741,3049,Savings,1272426,active
742,8762,Current,646123,active
743,7161,Business,631744,ACTIVE
744,8221,Business,61884,Inactive
745,7644,Savings,270824,active
746,641,Salary,1164406,ACTIVE
747,7202,Savings,1301892,active
748,6419,Salary,592781,Inactive
749,6488,Salary,996180,ACTIVE
750,4776,Salary,314373,Inactive
751,1986,Salary,185901,ACTIVE
752,4817,Business,1045230,ACTIVE
753,4168,Savings,395790,active
754,2030,Savings,244729,Inactive
755,7313,Salary,538637,Active
756,7206,Current,1440717,Inactive
757,8666,Business,951512,Active
758,5117,Current,610686,Inactive
759,171,Salary,1164930,active
760,3245,Salary,887609,Inactive
761,2472,Current,1405731,Inactive
762,7032,Savings,325703,Active
763,5976,Savings,674812,Active
764,1246,Current,480539,Inactive
765,7770,Salary,1014464,active
766,8990,Business,998377,Active
767,6020,Salary,446010,active
768,5568,Savings,13859,Active
769,322,Savings,1335200,ACTIVE
770,3935,Salary,1384758,ACTIVE
771,7320,Savings,838786,ACTIVE
772,3896,Current,106603,ACTIVE
773,9261,Current,477644,ACTIVE
774,7164,Savings,278254,ACTIVE
775,8516,Salary,580364,active
776,6556,Current,103125,active
777,3333,Savings,612983,Active
778,5339,Savings,413219,Inactive
779,2668,Business,1006145,Inactive
780,8837,Salary,413508,Inactive
781,3845,Savings,510046,Inactive
782,9904,Current,1290537,ACTIVE
783,9033,Savings,690399,Inactive
784,8495,Salary,721196,ACTIVE
785,3262,Savings,980815,Inactive
786,3761,Current,856529,Active
787,5080,Current,914371,active
788,7003,Savings,1130070,ACTIVE
789,336,Business,783482,active
790,1879,Salary,-5041,Inactive
791,1853,Current,582709,active
792,4756,Salary,559681,Inactive
793,2001,Salary,1009368,active
794,5239,Current,1077864,active
795,7789,Savings,339871,Inactive
796,2130,Salary,264038,Inactive
797,5133,Savings,815497,ACTIVE
798,969,Business,871671,active
799,2526,Business,354825,ACTIVE
800,2347,Salary,1101920,Inactive
801,750,Current,1115621,Inactive
802,9492,Salary,451957,Active
803,8496,Savings,1019153,Active
804,2916,Savings,95767,Active
805,5957,Salary,1086154,Inactive
806,3345,Salary,114899,active
807,7580,Salary,400763,Inactive
808,8228,Business,702702,Inactive
809,3550,Current,397936,Active
810,5622,Savings,418023,active
811,6726,Business,871948,ACTIVE
812,1434,Business,112064,Active
813,81,Salary,1078593,Inactive
814,9695,Savings,1218208,Inactive
815,5506,Savings,469880,active
816,3512,Savings,1211562,ACTIVE
817,6179,Savings,541275,active
818,2943,Salary,1429014,active
819,8987,Business,78042,ACTIVE
820,9923,Business,1492213,ACTIVE
821,8376,Business,275264,Active
822,4654,Business,1305671,active
823,9364,Savings,587471,Active
824,2043,Savings,1484842,active
825,1288,Current,1117938,active
826,3561,Salary,143490,Active
827,7794,Savings,316882,Active
828,282,Savings,766858,active
829,4711,Salary,1076744,Inactive
830,7774,Salary,124868,ACTIVE
831,8609,Savings,1180593,active
832,317,Business,1220163,Active
833,2964,Current,1406598,Inactive
834,1092,Current,951403,active
835,5079,Salary,1095470,active
836,3886,Business,1280681,Inactive
837,5600,Salary,345040,ACTIVE
838,677,Current,1181729,ACTIVE
839,1125,Current,1186423,ACTIVE
840,1114,Business,557159,Active
841,1973,Current,1053346,ACTIVE
842,7768,Current,980173,Inactive
843,4223,Business,188462,Inactive
844,4715,Current,1287822,active
845,4930,Salary,346410,ACTIVE
846,9615,Salary,1456577,Active
847,7662,Salary,293705,Inactive
848,7144,Salary,159303,Active
849,8948,Savings,1343778,Inactive
850,4872,Current,486116,Inactive
851,3837,Current,684835,Inactive
852,7310,Salary,1189243,Active
853,7382,Current,300391,Inactive
854,4475,Savings,1448483,Inactive
855,8684,Savings,648283,Inactive
856,684,Savings,1489608,Active
857,1976,Business,614062,Inactive
858,304,Salary,1497403,Inactive
859,1953,Current,524679,ACTIVE
860,3570,Savings,372681,Inactive
861,7910,Savings,172862,active
862,4005,Current,697050,active
863,6066,Current,1114265,Inactive
864,9453,Business,309862,Inactive
865,7398,Savings,743816,active
866,1031,Savings,1296415,active
867,5827,Business,1429332,Active
868,4352,Business,79809,active
